stock_line_id,warehouse,article,article_norm,name,qty_in_move,cost_rub,unit_cost_rub,source_file,source_file_id,so_t
STK-391,ДЕМИ (Основное подразделение),0-2818A,0-2818A,"Плед серый, из кашемира, с авторским рисунком",-4.0,-74100.0,18525.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-392,ДЕМИ (Основное подразделение),0-2818B,0-2818B,"Плед темно-серый, из кашемира, с авторским рисунком",-4.0,-74100.0,18525.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-393,ДЕМИ (Основное подразделение),0-3073A,0-3073A,"Свитшот женский, белый, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",8.0,23167.71,2895.96,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-394,ДЕМИ (Основное подразделение),0-3073C,0-3073C,"Свитшот женский, голубой, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",6.0,17124.73,2854.12,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-395,ДЕМИ (Основное подразделение),T-1416,T-1416,"Брюки-джоггеры женские, черные, из стрейч бархата, с шелковым лампасом",14.0,79332.76,5666.63,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-396,ДЕМИ (Основное подразделение),T-1418,T-1418,"Свитшот женский, черный, из бархата, с декоративными оборками на рукавах",15.0,99887.12,6659.14,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-397,ДЕМИ (Основное подразделение),T-1444A,T-1444A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", удлененный с капюшоном",8.0,58064.4,7258.05,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-398,ДЕМИ (Основное подразделение),T-1879В,T-1879В,"Юбка женская, черная, из стрейч бархата, миди",4.0,32440.0,8110.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-399,ДЕМИ (Основное подразделение),T-1960,T-1960,"Блуза женская, розовая, из шифона, воротник-стойка, переходящий в бант",10.0,122980.0,12298.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-400,ДЕМИ (Основное подразделение),T-1960/1,T-1960/1,"Блуза женская, черная, из шифона, с воротником ""стойка"", переходящая в бант",12.0,147576.0,12298.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-401,ДЕМИ (Основное подразделение),T-1984P,T-1984P,"Футболка женская, белая, из трикотажа, с декором принт ""дерево, птица, Yanina""",16.0,45000.0,2812.5,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-402,ДЕМИ (Основное подразделение),T-2032C/3,T-2032C/3,"Блуза женская, зеленая с принтом ""капли"", из батиста",10.0,125521.0,12552.1,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-403,ДЕМИ (Основное подразделение),T-2037C/3,T-2037C/3,"Брюки-капри женские, зеленые с принтом ""капли"", из батиста",10.0,65999.6,6599.96,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-404,ДЕМИ (Основное подразделение),T-2037D,T-2037D,"Брюки женские, голубые с принтом ""цветы"", из хлопка",6.0,46854.84,7809.14,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
