stock_wh_id,article_raw,canonical_sku,name,warehouse,qty_end,source_file_id,source_row_id
SW-e70bf751460a33d9,0-2421,0-2421,"Платье женское, розовое, из шелкового бархата, с воротником и манжетами из пайеток",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r1986
SW-17b896cb9a4ad60c,0-2421,0-2421,"Платье женское, розовое, из шелкового бархата, с воротником и манжетами из пайеток",Склад ИМ (Основное подразделение),1.0,FILE-098,r1986
SW-24f3816af931dd68,0-2421,0-2421,"Платье женское, розовое, из шелкового бархата, с воротником и манжетами из пайеток",Склад оптовых продаж (Основное подразделение),2.0,FILE-098,r1986
SW-cb52c20d021e5493,0-2431A,0-2431A,"Шорты женские, черные, из стрейч бархата, с вышивкой ""Yanina""",Подарки (Основное подразделение),1.0,FILE-098,r2004
SW-ff2b08becc872375,0-2431B,0-2431B,"Шорты женские, черные, из футера",Склад ИМ (Основное подразделение),3.0,FILE-098,r2012
SW-f1fb1eb6ce42597c,0-2431B/1,0-2431B,"Шорты женские, розовые с принтом ""цветы, грибы"", из хлопка",Склад ИМ (Основное подразделение),1.0,FILE-098,r2023
SW-c4e2e2eca7e1b42a,0-2436A,0-2436A,"Платье женское, зеленое, из шифона, с расшивкой бисером, корсетное",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2046
SW-1cf14b33fca44a9d,0-2437,0-2437,"Платье вечернее женское, серебряное, из пайеточной ткани, с расшивкой пайетками по горловине",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2048
SW-a3e6f0372bf4a8d8,0-2455А,0-2455A,"Юбка женская, черная, из фатина, с декором принт ""дерево, птицы, Yanina""",Подарки (Основное подразделение),3.0,FILE-098,r2069
SW-ddf6df0767be733c,0-2460A,0-2460A,"Блуза женская, розовая, из батиста, декорирована расшивкой кристаллами по воротнику",Склад ИМ (Основное подразделение),1.0,FILE-098,r2128
SW-68189982191582f6,0-2465А,0-2465A,"Блуза женская, белая, из хлопка, с вышивкой ""Дерево, птицы, Yanina"", с длинным рукавом",Склад ИМ (Основное подразделение),1.0,FILE-098,r2164
SW-177d87684c100723,0-2468А,0-2468A,"Платье женское, черное в белый горох, из шелка, со съемным воротником и белыми манжетами",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2174
SW-a44184eb7246d506,0-2470,0-2470,"Юбка женская, черная, из футера, с декором принт ""дерево, Yanina"", с отделкой ""лампас""",Салон (Лена М.) (Основное подразделение),2.0,FILE-098,r2206
SW-733b85cdc5c63fdf,0-2470,0-2470,"Юбка женская, черная, из футера, с декором принт ""дерево, Yanina"", с отделкой ""лампас""",Склад ИМ (Основное подразделение),4.0,FILE-098,r2206
SW-8cdd105154db9687,0-2471,0-2471,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"" и отделкой ""лампас""",Салон (Лена М.) (Основное подразделение),2.0,FILE-098,r2276
SW-df4c470a1bbc52b7,0-2472,0-2472,"Брюки женские, черные, из футера, с декором принт ""дерево, Yanina"", отделкой ""лампас""",Салон (Лена М.) (Основное подразделение),4.0,FILE-098,r2289
SW-52759082e2ffda3b,0-2472,0-2472,"Брюки женские, черные, из футера, с декором принт ""дерево, Yanina"", отделкой ""лампас""",Склад ИМ (Основное подразделение),4.0,FILE-098,r2289
SW-7166f1987a553023,0-2472,0-2472,"Брюки женские, черные, из футера, с декором принт ""дерево, Yanina"", отделкой ""лампас""",Склад оптовых продаж (Основное подразделение),3.0,FILE-098,r2289
SW-76707ce74dd18f6e,0-2475А,0-2475A,"Рубашка женская свободного силуэта, белая, из шелка, с вышивкой на кармане YC",Подарки (Основное подразделение),1.0,FILE-098,r2361
SW-32fa43610a9bb3d5,0-2476,0-2476,"Рубашка женская, белая с принтом ""девочки"", из шелка, с отделкой черным кантом, короткий рукав",Склад ИМ (Основное подразделение),1.0,FILE-098,r2377
SW-91a12a2768c41dac,0-2477,0-2477,"Рубашка женская, белая с принтом ""девочки"", из шелка, с отделкой черным кантом, с длинными рукавами",Склад ИМ (Основное подразделение),2.0,FILE-098,r2384
SW-08c32e9ebb229866,0-2478,0-2478,"Рубашка женская, белая, из хлопка, с отделкой ""YANINA"" спереди",Подарки (Основное подразделение),1.0,FILE-098,r2396
SW-ce0d55165f2bb690,0-2479A,0-2479A,"Рубашка женская, чёрная с принтом ""белые Y"", из батиста, с отделкой ""лампас"", с поясом",Склад ИМ (Основное подразделение),1.0,FILE-098,r2411
SW-7c5b469a4b526b73,0-2480,0-2480,"Блуза женская, белая с принтом ""оранжевые Y"", из шёлка, с отделкой ""лампас""",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2425
SW-582f72edf3f9fcb0,0-2480,0-2480,"Блуза женская, белая с принтом ""оранжевые Y"", из шёлка, с отделкой ""лампас""",Склад ИМ (Основное подразделение),2.0,FILE-098,r2425
SW-72f5948f16f3b70f,0-2480B,0-2480B,"Блуза женская, белая с принтом ""оранжевые Y"", из батиста, с отделкой ""лампас""",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r2445
SW-0067583999fbf815,0-2480B,0-2480B,"Блуза женская, белая с принтом ""оранжевые Y"", из батиста, с отделкой ""лампас""",Склад ИМ (Основное подразделение),4.0,FILE-098,r2445
SW-0bcc64e6ab8a5936,0-2480С/2,0-2480C,"Блуза женская, розовая с принтом ""цветы и грибы"", из батиста, с отделкой ""Лампас""",Склад ИМ (Основное подразделение),1.0,FILE-098,r2468
