sku_id,canonical_sku,article,code_1c,name,in_cost,in_sales,in_intersection,sales_revenue_rub,status
SKU-38f46097bc817a8d,0-3290,0-3290,00-00001833,"Дубленка женская, черная, из овчины, с вышивкой ""Цветы"" на рукавах",N,N,N,,CANDIDATE_MASTER
SKU-0649f1a0739b0118,0-3295,0-3295,00-00001886,"Платье женское, синие, из вечерней ткани, с сеткой по линии лифа",Y,N,N,,CANDIDATE_MASTER
SKU-8556033d993ad759,0-3295A,0-3295A,00-00001885,"Платье женское, бордовое, из вечерней ткани, с сеткой по линии лифа",Y,N,N,,CANDIDATE_MASTER
SKU-064b028b677a5680,0-3337,0-3337,00-00001892,"Блуза женская, черная, из органзы, с вышивкой ""YC"" на кармане",Y,Y,Y,104000.0,CANDIDATE_MASTER
SKU-55c3f43af66ca365,0-3338,0-3338,00-00001901,"Блуза женская, белая, из кружева, прямого силуэта, без карманов",Y,Y,Y,126000.0,CANDIDATE_MASTER
SKU-3d4af834f7d02525,0-3338A,0-3338A,00-00001907,"Блуза женская, черная, из кружева, прямого силуэта, без карманов",Y,N,N,,CANDIDATE_MASTER
SKU-ff27a92954da021a,0-3338B,0-3338B,00-00001908,"Блуза женская, зеленая, из кружева, прямого силуэта, без карманов",Y,Y,Y,59500.0,CANDIDATE_MASTER
SKU-42f254f7156950f2,0-3339,0-3339,00-00001889,"Платье женское, черное, из крепового шифона, с вышивкой из страз на воротнике",Y,N,N,,CANDIDATE_MASTER
SKU-27ad0cd3ccac679a,0-3339A,0-3339A,00-00001912,"Платье женское, фиолетовое, из крепового шифона, с вышивкой из страз на воротнике",Y,Y,Y,100725.0,CANDIDATE_MASTER
SKU-b6589fc6ab0dc82c,0-3340,0-3340,0,"Блуза женская, черная с принтом ""белые Y"", из шелка, с рукавами ""летучая мышь""",Y,N,N,,CANDIDATE_MASTER
SKU-e0d7ed00a51a470d,0-3341,0-3341,00-00001896,"Брюки женские, черные, из костюмной ткани, зауженные к низу",Y,Y,Y,68000.0,CANDIDATE_MASTER
